iter	RMSE
0	36237.14281
1	35368.0404
2	34535.69187
3	33698.35112
4	32927.83131
5	32170.40226
6	31465.4799
7	30822.01689
8	30223.77849
9	29600.03796
10	28996.9431
11	28452.4057
12	27847.92779
13	27336.07487
14	26898.78706
15	26430.94848
16	25999.21056
17	25578.98709
18	25159.03146
19	24788.12268
20	24392.3717
21	24044.20498
22	23690.82784
23	23393.24977
24	23074.70515
25	22773.22482
26	22483.13766
27	22206.57181
28	21934.54567
29	21626.45214
30	21369.32234
31	21147.75874
32	20912.44951
33	20684.26105
34	20471.95656
35	20282.18425
36	20076.95674
37	19919.14126
38	19752.3895
39	19598.38205
40	19429.66175
41	19265.36619
42	19103.39997
43	18979.69804
44	18811.65169
45	18680.29389
46	18547.34993
47	18422.82404
48	18288.38187
49	18173.13567
50	18041.48737
51	17923.48578
52	17826.39428
53	17727.29506
54	17634.69459
55	17540.77642
56	17452.37005
57	17373.16218
58	17286.01983
59	17212.38824
60	17124.76514
61	17037.30023
62	16973.3344
63	16893.71939
64	16837.9132
65	16760.47413
66	16684.083
67	16625.98479
68	16565.04994
69	16493.25787
70	16438.82523
71	16382.82368
72	16324.30641
73	16278.47099
74	16227.54882
75	16183.66462
76	16124.32088
77	16075.42408
78	16025.16532
79	15968.44081
80	15927.2238
81	15872.13453
82	15826.41146
83	15787.16728
84	15749.45149
85	15707.12742
86	15648.46007
87	15622.34751
88	15578.21327
89	15535.28245
90	15497.11664
91	15452.03799
92	15408.79011
93	15376.27867
94	15340.27461
95	15325.33085
96	15294.32808
97	15254.09349
98	15217.48121
99	15175.74058
100	15147.64641
101	15116.81396
102	15084.23425
103	15044.34252
104	15020.36225
105	14993.60544
106	14965.4537
107	14934.50755
108	14902.11813
109	14871.51252
110	14855.17179
111	14831.5063
112	14805.27078
113	14782.2513
114	14769.63761
115	14745.80204
116	14710.81315
117	14698.69328
118	14679.33076
119	14657.58088
120	14630.47994
121	14613.58101
122	14582.62467
123	14561.84366
124	14555.57663
125	14533.12423
126	14501.71539
127	14487.88743
128	14469.099
129	14443.17624
130	14420.04316
131	14396.69251
132	14370.60483
133	14351.93113
134	14333.74168
135	14299.00953
136	14276.56862
137	14252.2364
138	14239.17662
139	14215.06138
140	14197.42205
141	14172.41357
142	14157.17105
143	14129.77359
144	14116.5135
145	14094.92502
146	14082.431
147	14064.85487
148	14044.3799
149	14031.68602
150	14014.40763
151	13986.37073
152	13969.65535
153	13943.71162
154	13934.16284
155	13896.70439
156	13846.75624
157	13827.04208
