iter	RMSE
0	36124.22858
1	35281.32669
2	34448.73278
3	33688.39294
4	32925.42406
5	32173.58682
6	31502.97364
7	30865.70882
8	30226.86749
9	29595.61641
10	29065.59326
11	28521.08809
12	27967.79829
13	27495.15664
14	27022.78884
15	26563.66965
16	26155.0901
17	25737.05702
18	25348.96566
19	24987.46309
20	24625.96723
21	24301.08226
22	23980.57817
23	23630.44924
24	23340.35559
25	23039.49521
26	22694.47388
27	22429.93386
28	22165.42275
29	21912.62107
30	21648.12216
31	21397.96008
32	21167.73208
33	20942.23349
34	20704.90575
35	20496.53138
36	20314.94176
37	20109.34741
38	19932.68396
39	19763.6229
40	19585.58571
41	19415.51651
42	19246.6414
43	19125.37093
44	18986.87582
45	18848.53068
46	18690.44079
47	18572.87769
48	18451.94612
49	18346.13541
50	18230.84279
51	18117.39311
52	18020.49015
53	17941.29506
54	17852.60595
55	17740.01113
56	17664.61683
57	17558.95001
58	17459.59879
59	17370.66931
60	17289.22652
61	17218.5003
62	17153.33203
63	17075.7803
64	16991.75165
65	16918.27348
66	16838.20697
67	16764.97302
68	16706.29672
69	16632.79315
70	16564.67341
71	16515.59721
72	16465.31699
73	16410.9894
74	16352.54496
75	16295.7277
76	16260.03115
77	16208.28197
78	16164.80526
79	16101.5238
80	16050.74075
81	16009.80875
82	15959.18701
83	15903.47375
84	15870.52863
85	15830.7702
86	15781.09494
87	15726.98325
88	15689.19731
89	15624.96461
90	15584.49617
91	15545.24781
92	15498.19079
93	15458.04161
94	15426.96811
95	15388.12327
96	15353.05172
97	15307.42222
98	15252.64301
99	15212.30788
100	15183.12922
101	15142.83049
102	15110.61575
103	15061.42717
104	15036.95847
105	14988.13164
106	14948.25245
107	14921.27052
108	14887.7602
109	14862.07075
110	14837.60304
111	14796.69723
112	14765.37027
113	14739.9873
114	14712.82512
115	14676.26044
116	14648.47396
117	14605.4261
118	14572.68366
119	14547.08984
120	14519.82968
121	14507.5522
122	14484.61817
123	14462.50412
124	14443.01179
125	14419.80198
126	14390.72896
127	14370.0519
128	14346.56737
129	14325.48518
130	14312.41422
131	14285.27727
132	14266.39517
133	14250.70052
134	14225.04831
135	14208.31905
136	14166.42187
137	14151.53213
138	14128.06258
139	14116.46631
140	14096.21135
141	14063.21198
142	14046.8446
143	14023.32901
144	14013.65551
145	13997.24286
146	13987.45282
147	13969.02547
148	13948.79606
149	13933.91021
150	13918.77701
151	13885.55952
152	13855.76859
153	13825.34456
154	13805.87558
155	13790.89178
156	13769.79092
157	13745.32254
158	13726.88741
159	13689.0623
160	13688.23011
161	13666.31897
162	13645.84506
163	13629.58021
164	13609.63054
165	13589.0095
166	13573.01334
167	13549.43849
168	13535.85136
169	13507.00294
170	13485.52492
171	13482.3288
172	13460.32194
173	13441.74792
174	13416.33226
175	13409.69457
176	13389.88723
177	13371.105
178	13370.43432
179	13349.43056
180	13335.26595
181	13316.73988
182	13301.04236
183	13282.95487
184	13269.83863
185	13245.16612
186	13231.31337
187	13209.51383
188	13181.80269
189	13173.4399
190	13160.4179
191	13130.35254
192	13114.1976
193	13090.59476
194	13066.11154
195	13043.19256
196	13030.96244
197	13010.07275
198	12976.36651
199	12957.89444
200	12950.21063
201	12937.83334
202	12933.86059
203	12919.1026
204	12901.44359
205	12889.1191
206	12869.51281
207	12854.23642
208	12848.99431
209	12826.61146
210	12796.42066
211	12772.90853
212	12764.27488
213	12745.33913
214	12740.68733
215	12716.31618
216	12697.818
217	12693.22618
218	12663.28486
219	12632.85394
220	12612.58655
221	12605.47303
222	12602.32901
223	12577.07455
224	12554.94143
225	12549.47544
226	12526.19203
227	12521.42145
228	12500.76058
229	12494.87013
230	12486.2956
231	12468.3162
232	12465.80332
233	12460.4764
234	12455.50697
235	12448.90706
236	12446.21033
237	12419.30769
238	12394.84418
239	12390.18229
240	12387.94919
241	12357.10402
242	12341.38617
243	12335.2892
244	12332.74507
245	12331.06583
246	12326.44003
247	12324.40285
248	12302.917
249	12280.832
250	12265.57476
251	12263.35492
252	12247.46671
253	12242.19578
254	12218.50404
255	12189.51098
256	12170.587
257	12146.66611
258	12141.5582
259	12140.2674
260	12138.59794
261	12118.03799
262	12102.65329
263	12100.58693
264	12096.1309
265	12076.3657
266	12055.79545
267	12054.11138
268	12052.89533
269	12032.71268
270	12031.37428
271	12029.62201
272	12007.38065
273	12006.10778
274	11993.26908
275	11991.84544
276	11976.61943
277	11971.80601
278	11970.84503
279	11963.38896
280	11933.03182
281	11917.8369
282	11897.57162
283	11895.83465
284	11874.15138
285	11855.09802
286	11851.51622
287	11847.12909
288	11840.00934
289	11838.57858
290	11819.483
291	11793.31198
292	11770.54662
293	11742.96841
294	11741.79246
295	11735.59765
296	11733.10991
297	11732.12807
