iter	Passed	Remaining
0	137	137834
1	142	71031
2	146	48694
3	153	38316
4	162	32386
5	165	27341
6	167	23700
7	168	20936
8	170	18774
9	172	17051
10	173	15631
11	175	14441
12	177	13440
13	178	12591
14	180	11839
15	181	11182
16	183	10602
17	185	10110
18	187	9678
19	188	9259
20	191	8909
21	192	8564
22	194	8252
23	195	7968
24	197	7709
25	199	7462
26	200	7231
27	202	7030
28	203	6829
29	205	6646
30	207	6477
31	208	6315
32	210	6164
33	212	6023
34	213	5889
35	215	5762
36	216	5641
37	218	5523
38	219	5415
39	221	5312
40	222	5211
41	224	5113
42	225	5020
43	226	4932
44	228	4845
45	229	4762
46	230	4683
47	232	4609
48	234	4544
49	235	4477
50	237	4414
51	238	4349
52	239	4286
53	241	4225
54	242	4166
55	243	4110
56	245	4055
57	246	4003
58	247	3952
59	249	3906
60	250	3862
61	252	3824
62	254	3785
63	256	3744
64	257	3706
65	259	3669
66	260	3632
67	262	3597
68	264	3562
69	265	3530
70	267	3498
71	268	3466
72	270	3437
73	272	3405
74	273	3374
75	275	3343
76	276	3314
77	277	3284
78	279	3256
79	280	3230
80	282	3203
81	283	3176
82	285	3150
83	286	3124
84	288	3100
85	289	3076
86	290	3053
87	292	3032
88	293	3009
89	295	2989
90	297	2968
91	298	2948
92	300	2927
93	301	2906
94	303	2888
95	304	2870
96	306	2853
97	308	2835
98	309	2817
99	311	2801
100	312	2784
101	314	2767
102	315	2750
103	317	2736
104	319	2719
105	320	2705
106	322	2691
107	324	2679
108	326	2665
109	327	2647
110	328	2633
111	330	2619
112	331	2604
113	333	2590
114	334	2575
115	336	2560
116	337	2546
117	338	2532
118	340	2519
119	341	2507
120	343	2495
121	344	2481
122	346	2469
123	347	2456
124	349	2444
125	350	2432
126	351	2419
127	353	2406
128	354	2395
129	356	2383
130	357	2372
131	359	2361
132	360	2351
133	362	2341
134	363	2329
135	364	2318
136	366	2306
137	367	2295
138	368	2285
139	370	2275
140	371	2264
141	373	2255
142	374	2245
143	376	2238
144	378	2230
145	379	2220
146	380	2210
147	382	2200
148	383	2190
149	384	2179
150	385	2169
151	387	2160
152	388	2151
153	390	2143
154	391	2135
155	393	2126
156	394	2118
157	395	2109
158	397	2100
159	398	2091
160	398	2078
161	400	2070
162	401	2061
163	402	2053
164	404	2045
165	405	2038
166	407	2031
167	408	2024
168	410	2017
169	411	2009
170	412	2001
171	414	1994
172	415	1986
173	416	1978
174	418	1971
175	419	1964
176	421	1958
177	422	1951
178	423	1940
179	424	1933
180	425	1926
181	427	1919
182	428	1912
183	429	1905
184	430	1898
185	432	1891
186	433	1884
187	434	1878
188	436	1872
189	437	1866
190	439	1860
191	440	1854
192	442	1848
193	443	1842
194	444	1836
195	446	1830
196	447	1824
197	448	1818
198	450	1812
199	451	1807
200	453	1801
201	454	1795
202	455	1789
203	457	1784
204	458	1778
205	459	1772
206	461	1766
207	462	1760
208	463	1755
209	465	1749
210	466	1745
211	468	1740
212	469	1734
213	470	1729
214	472	1724
215	473	1719
216	475	1714
217	476	1709
218	477	1703
219	479	1698
220	480	1693
221	481	1688
222	483	1684
223	484	1679
224	486	1674
225	487	1669
226	488	1664
227	490	1659
228	491	1654
229	492	1649
230	494	1644
231	495	1639
232	496	1634
233	498	1630
234	499	1625
235	500	1621
236	502	1616
237	503	1611
238	504	1607
239	506	1603
240	507	1598
241	508	1593
242	510	1589
243	511	1584
244	512	1579
245	514	1575
246	515	1572
247	516	1567
248	518	1563
249	519	1558
250	520	1554
251	522	1550
252	523	1545
253	524	1541
254	526	1537
255	527	1533
256	529	1529
257	530	1525
258	531	1521
259	533	1517
260	534	1513
261	535	1509
262	537	1505
263	538	1501
264	539	1497
265	541	1493
266	542	1490
267	544	1486
268	545	1482
269	547	1479
270	548	1475
271	549	1471
272	551	1467
273	552	1464
274	553	1460
275	555	1456
276	556	1452
277	557	1448
278	558	1444
279	560	1441
280	561	1437
281	563	1434
282	564	1430
283	565	1426
284	567	1423
285	568	1419
286	569	1415
287	571	1412
288	572	1408
289	573	1404
290	575	1401
291	576	1398
292	578	1394
293	579	1391
294	580	1387
295	582	1384
296	583	1380
297	584	1377
298	585	1373
299	587	1370
300	588	1366
301	589	1363
302	591	1360
303	592	1357
304	594	1355
305	598	1358
306	601	1357
307	602	1354
308	604	1350
309	605	1347
310	606	1344
311	608	1341
312	609	1338
313	611	1335
314	612	1331
315	613	1328
316	615	1326
317	616	1322
318	618	1319
319	619	1316
320	620	1312
321	622	1309
322	623	1307
323	624	1303
324	626	1300
325	627	1297
326	628	1294
327	629	1290
328	631	1287
329	632	1283
330	633	1280
331	634	1277
332	636	1274
333	637	1271
334	639	1268
335	640	1265
336	641	1262
337	643	1259
338	644	1256
339	645	1253
340	646	1250
341	648	1247
342	649	1244
343	650	1241
344	652	1238
345	653	1235
346	655	1233
347	656	1230
348	658	1227
349	659	1224
350	660	1221
351	661	1218
352	663	1215
353	664	1212
354	665	1209
355	667	1206
356	668	1204
357	670	1201
358	671	1198
359	672	1195
360	674	1193
361	675	1190
362	676	1187
363	678	1184
364	679	1182
365	680	1179
366	682	1177
367	684	1174
368	685	1172
369	687	1170
370	688	1168
371	690	1165
372	691	1162
373	693	1160
374	694	1157
375	696	1155
376	702	1160
377	704	1158
378	707	1158
379	709	1157
380	711	1155
381	712	1153
382	714	1150
383	715	1148
384	717	1146
385	718	1143
386	720	1141
387	721	1138
388	723	1135
389	724	1133
390	725	1130
391	727	1127
392	728	1125
393	729	1122
394	731	1120
395	733	1118
396	734	1115
397	736	1113
398	737	1110
399	738	1108
400	740	1105
401	741	1103
402	742	1100
403	744	1098
404	745	1095
405	747	1093
406	748	1091
407	750	1088
408	751	1086
409	752	1083
410	754	1080
411	755	1078
412	757	1075
413	758	1073
414	760	1071
415	761	1068
416	762	1066
417	764	1064
418	765	1061
419	766	1059
420	768	1056
421	769	1053
422	770	1051
423	772	1048
424	773	1046
425	774	1043
426	776	1041
427	777	1038
428	778	1036
429	780	1034
430	781	1031
431	782	1029
432	784	1026
433	785	1024
434	786	1021
435	788	1019
436	789	1017
437	790	1014
438	791	1012
439	793	1009
440	794	1007
441	796	1004
442	797	1002
443	798	1000
444	800	997
445	801	995
446	802	993
447	804	990
448	805	988
449	806	985
450	808	983
451	809	981
452	810	979
453	812	977
454	813	974
455	815	972
456	816	969
457	817	967
458	818	965
459	820	962
460	821	960
461	822	958
462	824	956
463	826	954
464	827	952
465	828	949
466	830	947
467	831	945
468	832	942
469	834	940
470	835	938
471	836	936
472	838	933
473	839	931
474	840	929
475	842	927
476	843	925
477	845	922
478	846	920
479	847	918
480	848	916
481	850	913
482	851	911
483	852	909
484	854	907
485	855	904
486	857	902
487	858	900
488	859	898
489	861	896
490	862	894
491	863	891
492	865	889
493	866	887
494	867	885
495	868	882
496	870	880
497	872	879
498	873	877
499	874	874
500	876	872
501	877	870
502	878	868
503	880	866
504	881	864
505	882	861
506	884	859
507	885	857
508	886	855
509	888	853
510	889	851
511	891	849
512	892	847
513	894	845
514	895	843
515	897	841
516	898	839
517	900	837
518	901	835
519	902	833
520	904	831
521	905	829
522	906	827
523	908	825
524	909	822
525	910	820
526	912	818
527	913	816
528	914	814
529	916	812
530	917	810
531	918	808
532	920	806
533	921	804
534	923	802
535	924	800
536	925	798
537	927	796
538	928	794
539	929	792
540	931	790
541	932	788
542	933	786
543	935	784
544	936	782
545	938	780
546	939	778
547	940	775
548	942	773
549	943	771
550	944	769
551	946	767
552	947	765
553	948	763
554	950	761
555	951	759
556	953	757
557	954	755
558	955	753
559	956	751
560	958	749
561	959	747
562	960	745
563	962	743
564	963	741
565	964	739
566	966	737
567	967	735
568	968	733
569	970	731
570	971	729
571	972	728
572	974	726
573	975	724
574	976	722
575	978	720
576	979	718
577	981	716
578	982	714
579	983	712
580	985	710
581	986	708
582	987	706
583	989	704
584	990	702
585	991	700
586	993	698
587	994	696
588	995	694
589	997	693
590	998	691
591	999	689
592	1001	687
593	1002	685
594	1003	683
595	1005	681
596	1006	679
597	1007	677
598	1008	675
599	1010	673
600	1011	671
601	1013	669
602	1014	667
603	1015	665
604	1017	664
605	1018	662
606	1019	660
607	1020	658
608	1022	656
609	1023	654
610	1024	652
611	1026	650
612	1027	648
613	1029	646
614	1030	645
615	1032	643
616	1033	641
617	1034	639
618	1036	637
619	1037	635
620	1038	633
621	1039	631
622	1041	630
